Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'Термонаклейка Барби фон розовый круг;974167477;1506380691;OZN1506380691;Термонаклейка для одежды: Барби фон розовый круг;'47.5;Amazing pics;Продается;5;'5.00;Показывается;;27.03.2024 14:01;Материал для рукоделия;Термонаклейка;'0.04;'0.1;37;0;0;0;0;298.00;428.00;;0%
'Термонаклейка Черный Кот Силует астрономия;974356479;1506320059;OZN1506320059;Термонаклейка для одежды: Черный Кот Силует астрономия;'47.5;Amazing pics;Продается;23;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.07;'0.1;35;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Эльза Анна Холодное сердце паттерн;974356494;1506318673;OZN1506318673;Термонаклейка для одежды: Эльза Анна Холодное сердце паттерн;'47.5;Amazing pics;Продается;5;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.04;'0.1;14;0;0;0;0;298.00;428.00;;0%
'Термонаклейка Аниме девочка черные очки язык;974356495;1506381390;OZN1506381390;Термонаклейка для одежды: Аниме девочка черные очки, язык;'47.5;Amazing pics;Продается;18;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.07;'0.1;17;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Соник Ежик бежит пис мир рука;974356496;1506318830;OZN1506318830;Термонаклейка для одежды: Соник Ежик бежит пис мир рука;'47.5;Amazing pics;Продается;10;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.04;'0.1;39;0;0;0;0;298.00;428.00;;0%
'Термонаклейка Девушка на закате держат руки море;974356504;1506332556;OZN1506332556;Термонаклейка для одежды: Девушка на закате держат руки море;'47.5;Amazing pics;Продается;6;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.07;'0.1;16;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Человек Паук Лого позади;974356506;1506318448;OZN1506318448;Термонаклейка для одежды: Человек Паук Лого позади;'47.5;Amazing pics;Продается;46;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.04;'0.1;78;0;0;0;0;298.00;428.00;;0%
'Термонаклейка Покемоны Пикачу и Эш Кетчум;974356518;1506319309;OZN1506319309;Термонаклейка для одежды: Покемоны Пикачу и Эш Кетчум;'47.5;Amazing pics;Продается;11;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.04;'0.1;29;0;0;0;0;298.00;428.00;;0%
'Термонаклейка Тигр Краски Дизайн;974356520;1506331021;OZN1506331021;Термонаклейка для одежды: Тигр Краски Дизайн;'47.5;Amazing pics;Продается;16;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.07;'0.1;24;0;0;0;0;298.00;524.00;;0%
'Термонаклейка Миньоны на банане;974356522;1506318961;OZN1506318961;Термонаклейка для одежды: Миньоны на банане;'47.5;Amazing pics;Продается;9;'5.00;Показывается;;27.03.2024 14:40;Материал для рукоделия;Термонаклейка;'0.04;'0.1;42;0;0;0;0;298.00;428.00;;0%
