Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория комиссии;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Вывезти и нанести КИЗ (кроме Твери), шт;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Термонаклейка мультяшный Кот картина Ван Гог;877588232;1425250751;OZN1425250751;Термонаклейка для одежды: мультяшный Кот картина Ван Гог;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.25;0.1;38;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Микки Маус надписи на фоне;877588236;1425250758;OZN1425250758;Термонаклейка для одежды: Микки Маус надписи на фоне;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.63;0.1;13;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Поцелуй берега и реки картина маслом;877588237;1425250633;OZN1425250633;Термонаклейка для одежды: Поцелуй берега и реки картина маслом;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.57;0.1;10;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Одри Хепбёрн поп арт;877588241;1425250637;OZN1425250637;Термонаклейка для одежды: Одри Хепбёрн поп арт;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.28;0.1;29;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка картина Поцелуй Густава Климта;877588243;1425250579;OZN1425250579;Термонаклейка для одежды: картина Поцелуй Густава Климта;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;03.апр;0.6;27;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Леопардовое сердце поцелуй губ;877588244;1425250774;OZN1425250774;Термонаклейка для одежды: Леопардовое сердце поцелуй губ;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.16;0.1;20;0;1;0;0;0;349.00;428.00;;0%
Термонаклейка Кот Шанель Chanel;877588249;1425250687;OZN1425250687;Термонаклейка для одежды: Кот Шанель Chanel;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.52;0.1;18;0;1;0;0;0;349.00;428.00;;0%
Термонаклейка Дали Ван Гог Фрида Кало в машине;877588251;1425250740;OZN1425250740;Термонаклейка для одежды: Дали Ван Гог Фрида Кало в машине;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.54;0.1;25;0;3;0;0;0;349.00;428.00;;0%
Термонаклейка Dolce Gabbana Дольче Габбана лимоны;877588254;1425250776;OZN1425250776;Термонаклейка для одежды: Dolce Gabbana Дольче Габбана лимоны;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.13;0.1;52;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Розовый Фламинго цветок;877588257;1425250716;OZN1425250716;Термонаклейка для одежды: Розовый Фламинго цветок;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.20;0.1;23;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Dior Диор Цветы;877588269;1425250773;OZN1425250773;Термонаклейка для одежды: Dior Диор Цветы;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.25;0.1;27;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка надпись love любовь;877588270;1425250661;OZN1425250661;Термонаклейка для одежды: надпись love любовь;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.25;0.1;26;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Аниме девочка в куртке со стикерами;877588272;1425250720;OZN1425250720;Термонаклейка для одежды: Аниме девочка в куртке со стикерами;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:02;;0.23;0.1;16;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Play Boy губы обложка губы марка;877605926;1425266577;OZN1425266577;Термонаклейка для одежды: Play Boy губы обложка губы марка;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:27;;0.24;0.1;31;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Аниме Девочка в розовый капюшоном;877605934;1425266747;OZN1425266747;Термонаклейка для одежды: Аниме Девочка в розовый капюшоном;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 19:27;;0.27;0.1;40;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Сейлор Мун в куртке Sailor Moon;877614760;1425275426;OZN1425275426;Термонаклейка для одежды: Сейлор Мун в куртке Sailor Moon;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;17.02.2024 20:18;;0.18;0.1;42;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Мона Лиза, Фрида Кало свадьба;884490233;1431071314;OZN1431071314;Термонаклейка для одежды: Мона Лиза, Фрида Кало свадьба;47.5;Punky Monkey;Продается;718;апр.90;Показывается;;22.02.2024 8:56;;0.50;0.1;25;0;1;0;0;0;349.00;428.00;;0%
Термонаклейка Киллиан Мёрфи Острые козырьки;884491041;1431070205;OZN1431070205;Термонаклейка для одежды: Киллиан Мёрфи Острые козырьки;42.5;Punky Monkey;Продается;718;апр.90;Показывается;;22.02.2024 8:56;;0.21;0.1;25;0;0;0;0;0;349.00;428.00;;0%
Термонаклейка Жираф с цветком во рту;923539657;1463878321;OZN1463878321;Термонаклейка для одежды: Жираф с цветком во рту;47.5;Punky Monkey;Продается;884;апр.90;Показывается;;11.03.2024 6:33;;янв.65;0.3;36;0;0;0;0;0;339.00;428.00;;0%
Термонаклейка Леди Баг сидит;954754218;1489755059;OZN1489755059;Термонаклейка для одежды: Леди Баг сидит;47.5;Punky Monkey;Не продается;667;5.00;Скрыт;Отсутствуют документы на бренд;21.03.2024 16:54;;0.19;0.1;0;0;0;0;0;0;230.00;428.00;;0%
Термонаклейка Черепашки Ниндзя фон треугольник;954754291;1489754845;OZN1489754845;Термонаклейка для одежды: Черепашки Ниндзя фон треугольник;47.5;Punky Monkey;Продается;884;апр.90;Показывается;;21.03.2024 16:54;;0.08;0.1;46;0;0;0;0;0;339.00;428.00;;0%
